aisle1,aisle2,bought_together
frozen produce,frozen meals,2317
refrigerated,fresh dips tapenades,2313
frozen produce,fresh herbs,2309
fresh fruits,energy sports drinks,2300
fresh fruits,breakfast bars pastries,2298
bread,other creams cheeses,2296
frozen produce,crackers,2295
juice nectars,ice cream ice,2285
dish detergents,fresh vegetables,2283
cereal,milk,2279
bread,fresh dips tapenades,2277
soup broth bouillon,chips pretzels,2276
lunch meat,frozen produce,2275
frozen produce,bread,2271
yogurt,asian foods,2271
chips pretzels,frozen appetizers sides,2267
water seltzer sparkling water,other creams cheeses,2264
dry pasta,pasta sauce,2263
milk,paper goods,2260
doughs gelatins bake mixes,fresh fruits,2255
coffee,yogurt,2246
fresh fruits,oral hygiene,2244
instant foods,chips pretzels,2240
ice cream ice,refrigerated,2235
crackers,fresh dips tapenades,2235
bread,hot dogs bacon sausage,2234
crackers,frozen meals,2219
water seltzer sparkling water,cookies cakes,2217
energy granola bars,soy lactosefree,2214
dry pasta,dry pasta,2214
soy lactosefree,canned jarred vegetables,2212
soy lactosefree,dry pasta,2212
crackers,lunch meat,2211
frozen produce,canned meals beans,2207
frozen pizza,packaged cheese,2203
refrigerated,eggs,2201
soft drinks,crackers,2199
chips pretzels,canned meals beans,2199
packaged cheese,frozen pizza,2198
canned jarred vegetables,canned meals beans,2196
packaged vegetables fruits,frozen vegan vegetarian,2195
milk,candy chocolate,2192
eggs,soup broth bouillon,2188
paper goods,chips pretzels,2184
frozen meals,water seltzer sparkling water,2177
soft drinks,frozen meals,2176
water seltzer sparkling water,canned jarred vegetables,2174
packaged produce,packaged cheese,2168
water seltzer sparkling water,coffee,2163
frozen produce,milk,2161
frozen vegan vegetarian,packaged vegetables fruits,2156
eggs,frozen meals,2156
pasta sauce,yogurt,2155
fresh herbs,frozen produce,2155
condiments,packaged cheese,2153
meat counter,fresh fruits,2152
lunch meat,milk,2151
frozen produce,canned jarred vegetables,2151
canned jarred vegetables,fresh herbs,2151
energy sports drinks,fresh fruits,2150
fruit vegetable snacks,yogurt,2144
water seltzer sparkling water,dry pasta,2142
energy granola bars,ice cream ice,2131
ice cream ice,bread,2130
frozen pizza,frozen meals,2129
chips pretzels,preserved dips spreads,2124
fruit vegetable snacks,chips pretzels,2123
eggs,cereal,2120
cereal,bread,2119
cleaning products,fresh vegetables,2119
frozen produce,water seltzer sparkling water,2117
cookies cakes,packaged cheese,2114
ice cream ice,milk,2112
energy granola bars,cereal,2110
water seltzer sparkling water,baking ingredients,2109
yogurt,packaged produce,2108
baby food formula,frozen produce,2107
cereal,water seltzer sparkling water,2106
soy lactosefree,juice nectars,2106
soup broth bouillon,frozen produce,2102
latino foods,fresh fruits,2101
canned jarred vegetables,soup broth bouillon,2100
frozen appetizers sides,chips pretzels,2098
fresh vegetables,frozen meat seafood,2094
eggs,fresh dips tapenades,2083
soy lactosefree,oils vinegars,2079
baby food formula,crackers,2076
energy granola bars,nuts seeds dried fruit,2075
frozen produce,energy granola bars,2073
frozen appetizers sides,yogurt,2073
energy granola bars,frozen meals,2071
packaged vegetables fruits,buns rolls,2069
ice cream ice,cereal,2068
chips pretzels,eggs,2061
eggs,other creams cheeses,2058
eggs,baking ingredients,2057
milk,tortillas flat bread,2056
refrigerated,soft drinks,2053
fresh herbs,canned jarred vegetables,2049
cookies cakes,crackers,2048
fresh herbs,spices seasonings,2043
chips pretzels,condiments,2041
milk,oils vinegars,2041
fresh dips tapenades,frozen produce,2041
bread,baby food formula,2040
frozen meals,energy granola bars,2040
chips pretzels,fruit vegetable snacks,2038
tortillas flat bread,yogurt,2037
oils vinegars,packaged cheese,2036
yogurt,canned fruit applesauce,2033
bread,instant foods,2033
lunch meat,frozen meals,2033
frozen meals,bread,2032
juice nectars,crackers,2031
packaged cheese,missing,2028
baby food formula,chips pretzels,2028
canned meals beans,chips pretzels,2026
lunch meat,water seltzer sparkling water,2025
bread,canned meals beans,2023
water seltzer sparkling water,condiments,2022
ice cream ice,soy lactosefree,2021
bread,juice nectars,2020
energy granola bars,candy chocolate,2019
water seltzer sparkling water,canned meals beans,2018
chips pretzels,popcorn jerky,2016
crackers,milk,2015
fresh fruits,food storage,2010
chips pretzels,paper goods,2010
salad dressing toppings,fresh fruits,2009
eggs,energy granola bars,2009
crackers,cookies cakes,2006
cereal,energy granola bars,2005
spreads,chips pretzels,2004
fresh vegetables,food storage,2000
frozen produce,refrigerated,1996
milk,condiments,1993
milk,packaged produce,1990
packaged vegetables fruits,doughs gelatins bake mixes,1989
crackers,soup broth bouillon,1989
fresh dips tapenades,fresh dips tapenades,1987
cereal,frozen meals,1987
chips pretzels,frozen breakfast,1986
fresh herbs,chips pretzels,1982
cream,water seltzer sparkling water,1982
canned meals beans,soup broth bouillon,1982
refrigerated,nuts seeds dried fruit,1979
canned meals beans,frozen produce,1977
frozen produce,nuts seeds dried fruit,1976
fresh dips tapenades,water seltzer sparkling water,1974
candy chocolate,packaged cheese,1974
packaged vegetables fruits,specialty cheeses,1971
eggs,canned jarred vegetables,1971
energy granola bars,frozen produce,1969
bread,fresh herbs,1968
frozen meals,refrigerated,1967
fresh vegetables,oral hygiene,1961
refrigerated,tea,1959
chips pretzels,canned jarred vegetables,1957
frozen produce,spreads,1955
canned jarred vegetables,frozen produce,1953
cereal,frozen produce,1952
water seltzer sparkling water,breakfast bakery,1950
water seltzer sparkling water,pasta sauce,1949
other creams cheeses,ice cream ice,1949
lunch meat,hot dogs bacon sausage,1949
cereal,soy lactosefree,1947
frozen produce,baking ingredients,1946
yogurt,packaged poultry,1943
refrigerated,candy chocolate,1940
frozen pizza,yogurt,1938
water seltzer sparkling water,oils vinegars,1935
soup broth bouillon,frozen meals,1932
packaged vegetables fruits,latino foods,1932
spices seasonings,packaged cheese,1931
frozen meals,cereal,1929
paper goods,water seltzer sparkling water,1929
popcorn jerky,chips pretzels,1926
frozen meals,frozen appetizers sides,1926
frozen meals,frozen breakfast,1926
dry pasta,chips pretzels,1926
water seltzer sparkling water,instant foods,1925
paper goods,cleaning products,1922
packaged cheese,fruit vegetable snacks,1921
frozen produce,fresh dips tapenades,1920
refrigerated,hot dogs bacon sausage,1918
fresh dips tapenades,ice cream ice,1916
cleaning products,fresh fruits,1912
frozen pizza,chips pretzels,1911
chips pretzels,baking ingredients,1911
bread,pasta sauce,1907
fresh herbs,soy lactosefree,1903
yogurt,preserved dips spreads,1901
juice nectars,frozen produce,1900
soy lactosefree,condiments,1899
cream,milk,1896
frozen meals,lunch meat,1890
bread,condiments,1889
spreads,spreads,1887
tea,chips pretzels,1884
chips pretzels,pasta sauce,1884
bread,breakfast bakery,1882
frozen produce,cereal,1881
water seltzer sparkling water,missing,1880
crackers,nuts seeds dried fruit,1878
frozen breakfast,frozen breakfast,1877
soy lactosefree,candy chocolate,1877
lunch meat,refrigerated,1876
coffee,packaged cheese,1875
soup broth bouillon,canned jarred vegetables,1873
water seltzer sparkling water,popcorn jerky,1873
frozen meat seafood,fresh vegetables,1868
crackers,spreads,1864
soy lactosefree,hot dogs bacon sausage,1864
fresh herbs,soup broth bouillon,1861
lunch meat,cereal,1860
pasta sauce,dry pasta,1859
crackers,refrigerated,1859
packaged cheese,pickled goods olives,1859
eggs,butter,1858
bread,butter,1858
bread,canned jarred vegetables,1854
missing,packaged cheese,1853
energy granola bars,bread,1847
buns rolls,packaged vegetables fruits,1847
energy sports drinks,energy sports drinks,1846
soy lactosefree,pasta sauce,1844
chips pretzels,breakfast bakery,1843
baby food formula,milk,1843
energy sports drinks,fresh vegetables,1842
refrigerated,fresh herbs,1842
soy lactosefree,other creams cheeses,1841
chips pretzels,baby food formula,1841
milk,frozen pizza,1840
lunch meat,energy granola bars,1836
eggs,baby food formula,1834
honeys syrups nectars,fresh vegetables,1832
refrigerated,baby food formula,1830
packaged cheese,preserved dips spreads,1829
energy granola bars,milk,1827
frozen produce,dry pasta,1825
eggs,dry pasta,1823
lunch meat,fresh dips tapenades,1821
hot cereal pancake mixes,yogurt,1820
packaged vegetables fruits,granola,1818
milk,fruit vegetable snacks,1817
fruit vegetable snacks,packaged cheese,1817
ice cream ice,lunch meat,1815
condiments,condiments,1810
packaged produce,yogurt,1808
laundry,fresh vegetables,1808
frozen breakfast,crackers,1804
cereal,refrigerated,1803
soup broth bouillon,ice cream ice,1801
fresh fruits,vitamins supplements,1800
prepared soups salads,fresh vegetables,1799
fresh vegetables,prepared soups salads,1798
frozen meals,milk,1797
packaged vegetables fruits,prepared meals,1797
crackers,soy lactosefree,1795
pickled goods olives,packaged vegetables fruits,1793
bread,frozen breakfast,1793
packaged cheese,salad dressing toppings,1791
packaged vegetables fruits,canned fruit applesauce,1787
frozen meals,instant foods,1785
chips pretzels,frozen pizza,1784
dish detergents,fresh fruits,1783
refrigerated,spreads,1782
frozen produce,lunch meat,1782
canned jarred vegetables,chips pretzels,1781
soft drinks,refrigerated,1780
frozen meals,frozen pizza,1779
cream,ice cream ice,1778
juice nectars,frozen meals,1777
fresh dips tapenades,soy lactosefree,1777
frozen produce,baby food formula,1776
butter,chips pretzels,1774
fresh dips tapenades,bread,1773
yogurt,poultry counter,1773
eggs,spreads,1773
water seltzer sparkling water,frozen breakfast,1772
prepared meals,packaged vegetables fruits,1772
tea,water seltzer sparkling water,1771
eggs,canned meals beans,1768
crackers,baby food formula,1767
hot dogs bacon sausage,frozen produce,1766
coffee,chips pretzels,1762
soft drinks,paper goods,1761
oils vinegars,yogurt,1760
soy lactosefree,tea,1760
condiments,yogurt,1759
ice cream ice,soft drinks,1757
bread,nuts seeds dried fruit,1755
ice cream ice,energy granola bars,1755
chips pretzels,fresh herbs,1754
tea,packaged cheese,1754
chips pretzels,tea,1754
water seltzer sparkling water,butter,1751
lunch meat,soup broth bouillon,1749
yogurt,buns rolls,1749
frozen appetizers sides,frozen meals,1743
butter,baking ingredients,1742
milk,missing,1742
missing,missing,1740
breakfast bakery,other creams cheeses,1737
yogurt,doughs gelatins bake mixes,1736
lunch meat,soy lactosefree,1735
soft drinks,candy chocolate,1734
preserved dips spreads,packaged vegetables fruits,1733
packaged cheese,asian foods,1733
milk,tea,1733
cookies cakes,ice cream ice,1731
cream,bread,1731
juice nectars,milk,1727
hot dogs bacon sausage,lunch meat,1726
milk,spices seasonings,1725
packaged vegetables fruits,cleaning products,1725
soft drinks,milk,1719
soup broth bouillon,crackers,1719
bread,cookies cakes,1718
soy lactosefree,missing,1718
tortillas flat bread,chips pretzels,1713
soft drinks,bread,1712
salad dressing toppings,packaged vegetables fruits,1711
hot dogs bacon sausage,bread,1710
other creams cheeses,crackers,1708
laundry,fresh fruits,1707
hot dogs bacon sausage,hot dogs bacon sausage,1706
candy chocolate,energy granola bars,1705
popcorn jerky,yogurt,1705
fresh herbs,water seltzer sparkling water,1704
soft drinks,cookies cakes,1702
frozen meals,soy lactosefree,1699
ice cream ice,soup broth bouillon,1698
hot dogs bacon sausage,ice cream ice,1696
other creams cheeses,frozen produce,1692
bread,baking ingredients,1685
juice nectars,bread,1678
energy granola bars,lunch meat,1677
yogurt,pickled goods olives,1677
water seltzer sparkling water,fruit vegetable snacks,1677
refrigerated,other creams cheeses,1672
yogurt,tofu meat alternatives,1670
chips pretzels,tortillas flat bread,1669
refrigerated,cookies cakes,1669
energy granola bars,fruit vegetable snacks,1669
pasta sauce,chips pretzels,1666
cereal,lunch meat,1666
frozen appetizers sides,frozen appetizers sides,1661
packaged cheese,grains rice dried goods,1661
packaged cheese,hot cereal pancake mixes,1660
crackers,instant foods,1660
hot dogs bacon sausage,crackers,1660
packaged cheese,tea,1656
packaged cheese,packaged produce,1656
bread,tortillas flat bread,1656
fresh fruits,fresh pasta,1655
eggs,pasta sauce,1653
packaged cheese,popcorn jerky,1652
packaged poultry,packaged cheese,1652
soap,fresh vegetables,1652
soy lactosefree,cream,1651
eggs,nuts seeds dried fruit,1649
bread,soft drinks,1646
fresh herbs,baking ingredients,1645
frozen produce,eggs,1644
soft drinks,juice nectars,1644
frozen meat seafood,fresh fruits,1644
nuts seeds dried fruit,frozen produce,1643
nuts seeds dried fruit,crackers,1642
eggs,juice nectars,1641
ice cream ice,cookies cakes,1641
frozen produce,oils vinegars,1641
frozen breakfast,ice cream ice,1640
canned meat seafood,fresh fruits,1634
energy granola bars,spreads,1634
prepared soups salads,fresh fruits,1633
energy granola bars,fresh dips tapenades,1632
soup broth bouillon,fresh herbs,1632
chips pretzels,butter,1631
yogurt,salad dressing toppings,1628
baking ingredients,chips pretzels,1627
spreads,frozen produce,1626
spices seasonings,fresh herbs,1626
frozen breakfast,frozen produce,1626
refrigerated,instant foods,1625
nuts seeds dried fruit,water seltzer sparkling water,1624
eggs,oils vinegars,1623
frozen meals,soft drinks,1618
packaged vegetables fruits,canned meat seafood,1617
coffee,water seltzer sparkling water,1616
refrigerated,paper goods,1615
candy chocolate,ice cream ice,1613
bread,frozen appetizers sides,1611
soy lactosefree,spices seasonings,1611
water seltzer sparkling water,packaged produce,1611
crackers,other creams cheeses,1611
refrigerated,canned jarred vegetables,1611
soup broth bouillon,canned meals beans,1608
refrigerated,dry pasta,1607
crackers,dry pasta,1606
fresh dips tapenades,lunch meat,1605
bread,paper goods,1605
candy chocolate,water seltzer sparkling water,1605
asian foods,asian foods,1604
fresh dips tapenades,frozen meals,1603
cream,crackers,1600
other creams cheeses,bread,1600
crackers,soft drinks,1600
soy lactosefree,frozen breakfast,1597
fresh herbs,milk,1596
condiments,chips pretzels,1593
crackers,candy chocolate,1592
breakfast bakery,crackers,1591
water seltzer sparkling water,frozen pizza,1590
nuts seeds dried fruit,energy granola bars,1590
